cve_id,vendor_project,product,vulnerability_name,short_description,required_action,date_added,due_date,known_ransomware_campaign_use,notes,cwes,search_keywords,vendor_risk_score,product_risk_score,description_severity_score,days_since_added,remediation_window_days,days_until_due,recency_score,urgency_score,cwe_count,has_critical_cwe,cwe_risk_score,avg_cwe_criticality,ransomware_confirmed,ransomware_unknown,overall_threat_score,threat_level,threat_binary,confidence_score
CVE-2021-42013,Apache,HTTP Server,Apache HTTP Server Path Traversal Vulnerability,Apache HTTP Server contains a path traversal vulnerability that allows an attacker to perform remote code execution if files outside directories configured by Alias-like directives are not under default require all denied or if CGI scripts are enabled. This CVE ID resolves an incomplete patch for CVE-2021-41773.,Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-42013,CWE-22,cve-2021-42013|cwe-22|server|httpserver|path|vulnerability|CWE22|traversal|http server|CVE202142013|http|apache,0.9,0.7,0.3,1438,14,-1425,0.3,1.0,1,True,0.9,0.9,True,False,0.75,HIGH,1,0.75
CVE-2021-41773,Apache,HTTP Server,Apache HTTP Server Path Traversal Vulnerability,"Apache HTTP Server contains a path traversal vulnerability that allows an attacker to perform remote code execution if files outside directories configured by Alias-like directives are not under default �require all denied� or if CGI scripts are enabled. The original patch issued under this CVE ID is insufficient, please review remediation information under CVE-2021-42013.",Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-41773,CWE-22,cve-2021-41773|cwe-22|server|httpserver|path|vulnerability|CWE22|CVE202141773|traversal|http server|http|apache,0.9,0.7,0.3,1438,14,-1425,0.3,1.0,1,True,0.9,0.9,True,False,0.75,HIGH,1,0.75
CVE-2024-4577,PHP Group,PHP,PHP-CGI OS Command Injection Vulnerability,"PHP, specifically Windows-based PHP used in CGI mode, contains an OS command injection vulnerability that allows for arbitrary code execution. This vulnerability is a patch bypass for CVE-2012-1823.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-06-12,2024-07-03,Known,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see:  https://www.php.net/ChangeLog-8.php#;   https://nvd.nist.gov/vuln/detail/CVE-2024-4577",CWE-78,command|CVE20244577|bypass|cve-2024-4577|php group|injection|php|vulnerability|cwe-78|CWE78|phpgroup,0.3,0.9,0.7,486,21,-466,0.3,0.7,1,True,0.9,0.9,True,False,0.745,HIGH,1,0.75
CVE-2021-31207,Microsoft,Exchange Server,Microsoft Exchange Server Security Feature Bypass Vulnerability,Microsoft Exchange Server contains an unspecified vulnerability that allows for security feature bypass.,Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-31207,CWE-20|CWE-434,microsoft|bypass|exchange server|server|vulnerability|exchangeserver|cve-2021-31207|feature|security|cwe-20|CVE202131207|exchange|cwe-434|CWE20|CWE434,0.9,0.9,0.2,1438,14,-1425,0.3,1.0,2,True,0.9,0.9,True,False,0.745,HIGH,1,0.75
CVE-2022-26352,dotCMS,dotCMS,dotCMS Unrestricted Upload of File Vulnerability,"dotCMS ContentResource API contains an unrestricted upload of file with a dangerous type vulnerability that allows for directory traversal, in which the file is saved outside of the intended storage location. Exploitation allows for remote code execution.",Apply updates per vendor instructions.,2022-08-25,2022-09-15,Known,https://www.dotcms.com/security/SI-62;  https://nvd.nist.gov/vuln/detail/CVE-2022-26352,CWE-22|CWE-138,CVE202226352|unrestricted|cwe-22|file|vulnerability|CWE22|traversal|dotcms|cwe-138|CWE138|cve-2022-26352|upload,0.3,0.6,0.8,1143,21,-1123,0.3,0.7,2,True,0.9,0.65,True,False,0.745,HIGH,1,0.75
CVE-2021-26411,Microsoft,Internet Explorer,Microsoft Internet Explorer Memory Corruption Vulnerability,Microsoft Internet Explorer contains an unspecified vulnerability that allows for memory corruption.,Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-26411,CWE-416,CVE202126411|corruption|microsoft|CWE416|internet explorer|internet|vulnerability|cwe-416|explorer|cve-2021-26411|memory|internetexplorer,0.9,0.9,0.2,1438,14,-1425,0.3,1.0,1,True,0.9,0.9,True,False,0.745,HIGH,1,0.75
CVE-2021-40444,Microsoft,MSHTML,Microsoft MSHTML Remote Code Execution Vulnerability,Microsoft MSHTML contains a unspecified vulnerability that allows for remote code execution.,Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-40444,CWE-22,CVE202140444|microsoft|remote|cwe-22|vulnerability|CWE22|execution|cve-2021-40444|code|mshtml,0.9,0.3,0.3,1438,14,-1425,0.3,1.0,1,True,0.9,0.9,True,False,0.73,HIGH,1,0.75
CVE-2021-20023,SonicWall,SonicWall Email Security,SonicWall Email Security Path Traversal Vulnerability,SonicWall Email Security contains a path traversal vulnerability that allows a post-authenticated attacker to read files on the remote host. This vulnerability has known usage in a SonicWall Email Security exploit chain along with CVE-2021-20021 and CVE-2021-20022 to achieve privilege escalation.,Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-20023,CWE-22,sonicwall email security|cwe-22|escalation|path|email|sonicwall|vulnerability|CWE22|security|CVE202120023|sonicwallemailsecurity|traversal|cve-2021-20023,0.9,0.3,0.3,1438,14,-1425,0.3,1.0,1,True,0.9,0.9,True,False,0.73,HIGH,1,0.75
CVE-2022-24682,Synacor,Zimbra Collaborate Suite (ZCS),Synacor Zimbra Collaborate Suite (ZCS) Cross-Site Scripting Vulnerability,Synacor Zimbra Collaboration Suite (ZCS) contains a cross-site scripting (XSS) vulnerability in the Calendar feature that allows an attacker to execute arbitrary code.,Apply updates per vendor instructions.,2022-02-25,2022-03-11,Known,https://nvd.nist.gov/vuln/detail/CVE-2022-24682,CWE-79|CWE-116,cve-2022-24682|zimbra|zimbracollaboratesuite(zcs)|CVE202224682|site|scripting|cwe-116|suite|synacor|vulnerability|zimbra collaborate suite (zcs)|CWE116|collaborate|CWE79|cwe-79|cross|xss,0.3,0.3,0.5,1324,14,-1311,0.3,1.0,2,True,0.9,0.65,True,False,0.73,HIGH,1,0.75
CVE-2021-1732,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,Microsoft Win32k contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-1732,CWE-787,microsoft|win32k|escalation|vulnerability|CVE20211732|privilege|cve-2021-1732|CWE787|cwe-787,0.9,0.3,0.3,1438,14,-1425,0.3,1.0,1,True,0.9,0.9,True,False,0.73,HIGH,1,0.75
CVE-2010-0188,Adobe,Reader and Acrobat,Adobe Reader and Acrobat Arbitrary Code Execution Vulnerability,Unspecified vulnerability in Adobe Reader and Acrobat allows attackers to cause a denial of service or possibly execute arbitrary code.,Apply updates per vendor instructions.,2022-03-03,2022-03-24,Known,https://nvd.nist.gov/vuln/detail/CVE-2010-0188,CWE-94,reader|arbitrary|reader and acrobat|adobe|acrobat|execution|vulnerability|CWE94|CVE20100188|code|cwe-94|readerandacrobat|cve-2010-0188,0.9,0.9,0.4,1318,21,-1298,0.3,0.7,1,True,0.9,0.9,True,False,0.73,HIGH,1,0.75
CVE-2024-21762,Fortinet,FortiOS,Fortinet FortiOS Out-of-Bound Write Vulnerability,Fortinet FortiOS contains an out-of-bound write vulnerability that allows a remote unauthenticated attacker to execute code or commands via specially crafted HTTP requests.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-02-09,2024-02-16,Known,https://fortiguard.fortinet.com/psirt/FG-IR-24-015 ;   https://nvd.nist.gov/vuln/detail/CVE-2024-21762,CWE-787,write|CVE202421762|fortinet|vulnerability|bound|cwe-787|cve-2024-21762|CWE787|fortios,0.9,0.3,0.3,610,7,-604,0.3,1.0,1,True,0.9,0.9,True,False,0.73,HIGH,1,0.75
CVE-2021-20022,SonicWall,SonicWall Email Security,SonicWall Email Security Unrestricted Upload of File Vulnerability,SonicWall Email Security contains an unrestricted upload of file with dangerous type vulnerability that allows a post-authenticated attacker to upload a file to the remote host. This vulnerability has known usage in a SonicWall Email Security exploit chain along with CVE-2021-20021 and CVE-2021-20023 to achieve privilege escalation.,Apply updates per vendor instructions.,2021-11-03,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-20022,CWE-434,sonicwall email security|unrestricted|CVE202120022|file|escalation|vulnerability|email|sonicwall|security|cve-2021-20022|sonicwallemailsecurity|cwe-434|CWE434|upload,0.9,0.3,0.3,1438,14,-1425,0.3,1.0,1,True,0.9,0.9,True,False,0.73,HIGH,1,0.75
CVE-2022-27925,Synacor,Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) Arbitrary File Upload Vulnerability,"Synacor Zimbra Collaboration Suite (ZCS) contains flaw in the mboximport functionality, allowing an authenticated attacker to upload arbitrary files to perform remote code execution. This vulnerability was chained with CVE-2022-37042 which allows for unauthenticated remote code execution.",Apply updates per vendor instructions.,2022-08-11,2022-09-01,Known,https://blog.zimbra.com/2022/08/authentication-bypass-in-mailboximportservlet-vulnerability/;  https://nvd.nist.gov/vuln/detail/CVE-2022-27925,CWE-22,zimbra|cwe-22|cve-2022-27925|arbitrary|suite|synacor|collaboration|file|vulnerability|CWE22|CVE202227925|zimbra collaboration suite (zcs)|zimbracollaborationsuite(zcs)|upload,0.3,0.3,0.8,1157,21,-1137,0.3,0.7,1,True,0.9,0.9,True,False,0.73,HIGH,1,0.75
CVE-2019-11510,Ivanti,Pulse Connect Secure,Ivanti Pulse Connect Secure Arbitrary File Read Vulnerability,Ivanti Pulse Connect Secure contains an arbitrary file read vulnerability that allows an unauthenticated remote attacker with network access via HTTPS to send a specially crafted URI.,Apply updates per vendor instructions.,2021-11-03,2021-04-23,Known,Reference CISA's ED 21-03 (https://www.cisa.gov/news-events/directives/ed-21-03-mitigate-pulse-connect-secure-product-vulnerabilities) for further guidance and requirements. Note: The due date for addressing this vulnerability aligns with the requirements outlined in ED 21-03. https://nvd.nist.gov/vuln/detail/CVE-2019-11510,CWE-22,secure|pulse connect secure|pulse|cwe-22|file|connect|arbitrary|pulseconnectsecure|vulnerability|CWE22|cve-2019-11510|ivanti|CVE201911510|read,0.3,0.3,0.5,1438,-194,-1633,0.3,1.0,1,True,0.9,0.9,True,False,0.73,HIGH,1,0.75
CVE-2022-22954,VMware,Workspace ONE Access and Identity Manager,VMware Workspace ONE Access and Identity Manager Server-Side Template Injection Vulnerability,VMware Workspace ONE Access and Identity Manager allow for remote code execution due to server-side template injection.,Apply updates per vendor instructions.,2022-04-14,2022-05-05,Known,https://nvd.nist.gov/vuln/detail/CVE-2022-22954,CWE-94,identity|CVE202222954|template|vmware|manager|injection|server|vulnerability|CWE94|workspaceoneaccessandidentitymanager|cwe-94|workspace|cve-2022-22954|side|workspace one access and identity manager|access,0.9,0.3,0.5,1276,21,-1256,0.3,0.7,1,True,0.9,0.9,True,False,0.715,HIGH,1,0.75
CVE-2024-21887,Ivanti,Connect Secure and Policy Secure,Ivanti Connect Secure and Policy Secure Command Injection Vulnerability,"Ivanti Connect Secure (ICS, formerly known as Pulse Connect Secure) and Ivanti Policy Secure contain a command injection vulnerability in the web components of these products, which can allow an authenticated administrator to send crafted requests to execute code on affected appliances. This vulnerability can be leveraged in conjunction with CVE-2023-46805, an authenticated bypass issue.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-01-10,2024-01-22,Known,"Please apply mitigations per vendor instructions. For more information, please see: https://forums.ivanti.com/s/article/KB-CVE-2023-46805-Authentication-Bypass-CVE-2024-21887-Command-Injection-for-Ivanti-Connect-Secure-and-Ivanti-Policy-Secure-Gateways?language=en_US ; https://nvd.nist.gov/vuln/detail/CVE-2024-21887",CWE-77,secure|connectsecureandpolicysecure|command|connect secure and policy secure|connect|injection|policy|vulnerability|bypass|ivanti|cve-2024-21887|CVE202421887|CWE77|cwe-77,0.3,0.3,0.4,640,12,-629,0.3,1.0,1,True,0.9,0.9,True,False,0.715,HIGH,1,0.75
CVE-2018-1273,VMware Tanzu,Spring Data Commons,VMware Tanzu Spring Data Commons Property Binder Vulnerability,Spring Data Commons contains a property binder vulnerability which can allow an attacker to perform remote code execution.,Apply updates per vendor instructions.,2022-03-25,2022-04-15,Known,https://nvd.nist.gov/vuln/detail/CVE-2018-1273,CWE-94,vmware|tanzu|vmware tanzu|cve-2018-1273|vulnerability|springdatacommons|CVE20181273|CWE94|commons|data|vmwaretanzu|cwe-94|spring|spring data commons|binder|property,0.9,0.9,0.3,1296,21,-1276,0.3,0.7,1,True,0.9,0.9,True,False,0.715,HIGH,1,0.75
CVE-2019-7481,SonicWall,SMA100,SonicWall SMA100 SQL Injection Vulnerability,SonicWall SMA100 contains a SQL injection vulnerability allowing an unauthenticated user to gain read-only access to unauthorized resources.,Apply updates per vendor instructions.,2021-11-03,2022-05-03,Known,https://nvd.nist.gov/vuln/detail/CVE-2019-7481,CWE-89,sql|CVE20197481|injection|vulnerability|cve-2019-7481|sonicwall|CWE89|sma100|cwe-89,0.9,0.3,0.8,1438,181,-1258,0.3,0.4,1,True,0.9,0.9,True,False,0.715,HIGH,1,0.75
CVE-2021-40449,Microsoft,Windows,Microsoft Windows Win32k Privilege Escalation Vulnerability,Unspecified vulnerability allows for an authenticated user to escalate privileges.,Apply updates per vendor instructions.,2021-11-17,2021-12-01,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-40449,CWE-416,cve-2021-40449|microsoft|CVE202140449|win32k|CWE416|escalation|vulnerability|cwe-416|windows|privilege,0.9,0.9,0.0,1424,14,-1411,0.3,1.0,1,True,0.9,0.9,True,False,0.715,HIGH,1,0.5
